GEOID,NAMELSAD,population,tract_area_sq_mi,light_duty_vehicles_population_weighted,ev_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_population_weighted,is_benchmark_20to100,is_above_standard_gt100,is_below_standard_lt20,application_group,predicted_target_evse_count,current_total_evse,planning_gap_evse_non_benchmark_only,planning_gap_bin,gap_map_class,benchmark_map_class
06013320001,Census Tract 3200.01,3276,6.31,2274.02,127.81,0.0,False,False,True,below_standard_gap_application,65.0,0.0,65.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06013307205,Census Tract 3072.05,7101,1.18,5276.14,156.94,0.0,False,False,True,below_standard_gap_application,174.0,0.0,174.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06013355302,Census Tract 3553.02,3299,2.9,2249.91,263.9,0.0,False,False,True,below_standard_gap_application,65.0,0.0,65.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06053012200,Census Tract 122,2692,0.33,2183.1,152.18,1.83,False,False,True,below_standard_gap_application,63.0,4.0,59.0,51-100,Gap 51-100 EVSE,"1-5 EVSE / 1,000 vehicles"
06013307101,Census Tract 3071.01,4595,0.83,3414.15,101.55,0.0,False,False,True,below_standard_gap_application,94.0,0.0,94.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06111003615,Census Tract 36.15,2310,0.67,1974.01,99.2,0.0,False,False,True,below_standard_gap_application,58.0,0.0,58.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06111005803,Census Tract 58.03,3469,1.36,2976.69,270.02,0.0,False,False,True,below_standard_gap_application,82.0,0.0,82.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06111008307,Census Tract 83.07,3284,0.34,2894.21,188.27,0.0,False,False,True,below_standard_gap_application,79.0,0.0,79.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06111007515,Census Tract 75.15,3438,3.69,3199.22,230.93,0.0,False,False,True,below_standard_gap_application,88.0,0.0,88.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06111001511,Census Tract 15.11,2457,0.23,2037.22,100.32,0.0,False,False,True,below_standard_gap_application,59.0,0.0,59.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06111008308,Census Tract 83.08,4347,7.76,3780.24,254.29,0.0,False,False,True,below_standard_gap_application,107.0,0.0,107.0,101-250,Gap 101-250 EVSE,"0 EVSE / 1,000 vehicles"
06111003617,Census Tract 36.17,1675,0.52,1431.37,71.93,1.4,False,False,True,below_standard_gap_application,48.0,2.0,46.0,26-50,Gap 26-50 EVSE,"1-5 EVSE / 1,000 vehicles"
06111003101,Census Tract 31.01,4674,0.47,3517.05,89.65,0.0,False,False,True,below_standard_gap_application,97.0,0.0,97.0,51-100,Gap 51-100 EVSE,"0 EVSE / 1,000 vehicles"
06111008502,Census Tract 85.02,3578,17.65,1670.63,113.21,2.39,False,False,True,below_standard_gap_application,53.0,4.0,49.0,26-50,Gap 26-50 EVSE,"1-5 EVSE / 1,000 vehicles"
