GEOID,NAMELSAD,COUNTYFP,TRACTCE,tract_area_sq_mi,station_count,total_evse,stations_per_sq_mi,evse_per_sq_mi,population,ev_vehicles_area_weighted,zev_vehicles_area_weighted,light_duty_vehicles_area_weighted,ev_vehicles_population_weighted,zev_vehicles_population_weighted,light_duty_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_area_weighted,ev_share_light_duty_area_weighted,evse_per_1000_light_duty_vehicles_population_weighted,ev_share_light_duty_population_weighted
06001442700,Census Tract 4427,001,442700,0.47645419860989396,0.0,0.0,0.0,0.0,3068,209.78987540224173,211.17989061919235,1649.191524408834,281.0080149150658,282.86366739148104,2200.339549267035,0.0,0.12720770892722275,0.0,0.1277112048495759
06001442800,Census Tract 4428,001,442800,0.4936865109091698,2.0,7.0,4.0511538310350295,14.179038408622603,3041,317.5757213402491,319.0591654795448,1629.6523936674678,453.2157932096314,455.33283260242865,2325.694795358705,4.29539454376941,0.19487328866836295,3.0098532335238555,0.1948732886680126
06037204920,Census Tract 2049.20,037,204920,0.35134201921542824,0.0,0.0,0.0,0.0,2274,33.26636803875425,34.1502570446119,2097.468610902156,19.70670625308222,20.230314390228354,1242.5221094563628,0.0,0.015860245948780057,0.0,0.01586024594902737
06037205110,Census Tract 2051.10,037,205110,0.1107957242739827,0.0,0.0,0.0,0.0,3501,10.49055091417509,10.76928535875462,661.4368369872279,30.340008175446332,31.146143658368818,1912.959500975062,0.0,0.015860245948741525,0.0,0.015860245948741525
06037205120,Census Tract 2051.20,037,205120,0.566116230186713,0.0,0.0,0.0,0.0,3252,53.59941977202715,55.02352057126592,3379.416431612245,28.185673131248212,28.93441815449762,1776.8703679411688,0.0,0.015860554878836298,0.0,0.01586253766160021
06037206010,Census Tract 2060.10,037,206010,0.5554794987832102,11.0,16.0,19.80271103451295,28.80394332292793,3392,331.70098876478437,334.26180475434296,3838.6631683463434,199.37365042374486,200.91286570858045,2307.2837119672427,4.168117727008759,0.08641054820855193,6.934561153885161,0.0864105482085488
06037206020,Census Tract 2060.20,037,206020,0.33727296592753175,7.0,58.0,20.754702295066416,171.96753330197888,7629,201.4003694588851,202.95523153009546,2330.7382447465243,448.4143806251572,451.87625368175793,5189.347711848118,24.884819275923324,0.08641054820842316,11.17674189909777,0.08641054820846844
06037206050,Census Tract 2060.50,037,206050,0.6890673405387859,1.0,2.0,1.451236970857005,2.90247394171401,2340,74.36753697856383,76.2218649426842,4278.79739975572,21.40413071724581,21.945958386456834,1260.0220802336767,0.4674210562328054,0.017380476341976262,1.587273771923974,0.016987107649158274
06037111402,Census Tract 1114.02,037,111402,0.37499296544131433,2.0,4.0,5.333433382266996,10.666866764533992,5888,102.78280258827232,104.07518989892367,1071.5411260959306,448.8623248619341,454.50630379880755,4679.52253619006,3.7329411840436415,0.09592053919829728,0.8547880620437595,0.09592053919829727
06037111303,Census Tract 1113.03,037,111303,0.6038234085071531,0.0,0.0,0.0,0.0,4424,179.25914833300828,181.36012882220285,1830.473742637611,341.9070638549737,345.9966052253023,3492.008441103338,0.0,0.09793046693732181,0.0,0.09791129363563178
