GEOID,NAMELSAD,COUNTYFP,TRACTCE,tract_area_sq_mi,station_count,total_evse,stations_per_sq_mi,evse_per_sq_mi,population,ev_vehicles_area_weighted,zev_vehicles_area_weighted,light_duty_vehicles_area_weighted,ev_vehicles_population_weighted,zev_vehicles_population_weighted,light_duty_vehicles_population_weighted,evse_per_1000_light_duty_vehicles_area_weighted,ev_share_light_duty_area_weighted,evse_per_1000_light_duty_vehicles_population_weighted,ev_share_light_duty_population_weighted,is_benchmark_20to100,predicted_target_evse_count,current_total_evse,model_gap_evse_all_tracts,application_group,planning_gap_evse_non_benchmark_only,planning_gap_bin
06001442700,Census Tract 4427,1,442700,0.4764541986098939,0.0,0.0,0.0,0.0,3068,209.78987540224173,211.17989061919235,1649.191524408834,281.0080149150658,282.86366739148104,2200.339549267035,0.0,0.1272077089272227,0.0,0.1277112048495759,False,64.0,0.0,64.0,non_benchmark_application,64.0,51-100
06001442800,Census Tract 4428,1,442800,0.4936865109091698,2.0,7.0,4.0511538310350295,14.179038408622604,3041,317.5757213402491,319.0591654795448,1629.6523936674678,453.2157932096314,455.33283260242865,2325.694795358705,4.29539454376941,0.1948732886683629,3.0098532335238555,0.1948732886680126,False,68.0,7.0,61.0,non_benchmark_application,61.0,51-100
06037204920,Census Tract 2049.20,37,204920,0.3513420192154282,0.0,0.0,0.0,0.0,2274,33.26636803875425,34.1502570446119,2097.468610902156,19.70670625308222,20.23031439022835,1242.5221094563628,0.0,0.01586024594878,0.0,0.0158602459490273,False,45.0,0.0,45.0,non_benchmark_application,45.0,26-50
06037205110,Census Tract 2051.10,37,205110,0.1107957242739827,0.0,0.0,0.0,0.0,3501,10.49055091417509,10.76928535875462,661.4368369872279,30.340008175446332,31.146143658368818,1912.959500975062,0.0,0.0158602459487415,0.0,0.0158602459487415,False,57.0,0.0,57.0,non_benchmark_application,57.0,51-100
06037205120,Census Tract 2051.20,37,205120,0.566116230186713,0.0,0.0,0.0,0.0,3252,53.59941977202715,55.02352057126592,3379.416431612245,28.185673131248212,28.93441815449762,1776.8703679411688,0.0,0.0158605548788362,0.0,0.0158625376616002,False,54.0,0.0,54.0,non_benchmark_application,54.0,51-100
06037206010,Census Tract 2060.10,37,206010,0.5554794987832102,11.0,16.0,19.80271103451295,28.80394332292793,3392,331.70098876478437,334.26180475434296,3838.6631683463434,199.3736504237449,200.91286570858043,2307.2837119672427,4.168117727008759,0.0864105482085519,6.934561153885161,0.0864105482085488,False,66.0,16.0,50.0,non_benchmark_application,50.0,26-50
06037206020,Census Tract 2060.20,37,206020,0.3372729659275317,7.0,58.0,20.754702295066416,171.96753330197888,7629,201.4003694588851,202.95523153009543,2330.7382447465243,448.4143806251572,451.87625368175793,5189.347711848118,24.884819275923324,0.0864105482084231,11.17674189909777,0.0864105482084684,False,176.0,58.0,118.0,non_benchmark_application,118.0,101-250
06037206050,Census Tract 2060.50,37,206050,0.6890673405387859,1.0,2.0,1.451236970857005,2.90247394171401,2340,74.36753697856383,76.2218649426842,4278.79739975572,21.40413071724581,21.945958386456834,1260.022080233677,0.4674210562328054,0.0173804763419762,1.587273771923974,0.0169871076491582,False,46.0,2.0,44.0,non_benchmark_application,44.0,26-50
06037111402,Census Tract 1114.02,37,111402,0.3749929654413143,2.0,4.0,5.333433382266996,10.666866764533992,5888,102.78280258827232,104.07518989892368,1071.5411260959306,448.8623248619341,454.5063037988075,4679.52253619006,3.7329411840436415,0.0959205391982972,0.8547880620437595,0.0959205391982972,False,148.0,4.0,144.0,non_benchmark_application,144.0,101-250
06037111303,Census Tract 1113.03,37,111303,0.6038234085071531,0.0,0.0,0.0,0.0,4424,179.25914833300828,181.36012882220285,1830.473742637611,341.9070638549737,345.9966052253023,3492.008441103338,0.0,0.0979304669373218,0.0,0.0979112936356317,False,99.0,0.0,99.0,non_benchmark_application,99.0,51-100
06037104321,Census Tract 1043.21,37,104321,0.2007175188533277,0.0,0.0,0.0,0.0,2749,36.5987745459768,37.45438587376118,1514.132586213626,48.91409301331608,50.05761359808092,2023.631202829101,0.0,0.0241714463311954,0.0,0.0241714463311954,False,59.0,0.0,59.0,non_benchmark_application,59.0,51-100
06037104322,Census Tract 1043.22,37,104322,0.2673019334775133,1.0,1.0,3.7410877915857816,3.7410877915857816,1778,48.73975752076143,49.87920246572371,2016.418746852495,31.63668875142814,32.37629573568128,1308.8454996835724,0.4959287358148888,0.0241714463311954,0.7640321185669057,0.0241714463311954,False,46.0,1.0,45.0,non_benchmark_application,45.0,26-50
06037108203,Census Tract 1082.03,37,108203,0.5298773836778612,0.0,0.0,0.0,0.0,3074,345.64985842409976,347.4797309965851,2033.2498383986751,433.1542503278714,435.4473717136117,2547.9854483268546,0.0,0.1699987143224479,0.0,0.1699987143224479,False,73.0,0.0,73.0,non_benchmark_application,73.0,51-100
06037320101,Census Tract 3201.01,37,320101,0.2627430546413588,0.0,0.0,0.0,0.0,3385,48.01536451407983,48.704580272655136,1918.4703537587368,61.98486828079345,62.8746032321924,2476.626666938497,0.0,0.0250279418808877,0.0,0.0250279418808877,False,68.0,0.0,68.0,non_benchmark_application,68.0,51-100
06037920121,Census Tract 9201.21,37,920121,4.710762167465615,7.0,38.0,1.485959118960572,8.066635217214534,11359,1217.346921105694,1221.0834430369057,11412.390075161846,918.198525900812,921.049669780496,8784.117721851417,3.3297144375308343,0.106668884702351,4.325989382572937,0.1045293966879219,False,601.0,38.0,563.0,non_benchmark_application,563.0,501-1000
06037231901,Census Tract 2319.01,37,231901,0.0945034912870871,0.0,0.0,0.0,0.0,2820,17.443713350051866,18.000079441892172,1082.2956857152255,23.166046961391395,23.90492650800238,1437.3380356720704,0.0,0.0161173268823707,0.0,0.0161173268823707,False,48.0,0.0,48.0,non_benchmark_application,48.0,26-50
06037232402,Census Tract 2324.02,37,232402,0.2097534068502404,0.0,0.0,0.0,0.0,3155,60.016137596792774,61.115334256074696,2156.623845511125,52.03726565205403,52.99032912553488,1869.910534969414,0.0,0.02782874617737,0.0,0.02782874617737,False,56.0,0.0,56.0,non_benchmark_application,56.0,51-100
06037135204,Census Tract 1352.04,37,135204,0.7171935246858253,0.0,0.0,0.0,0.0,4915,271.61186117271995,274.0689543119588,2071.5648549057764,516.41374265429,521.2731002601532,3930.2985835990257,0.0,0.1311143411848788,0.0,0.1313930053073482,False,117.0,0.0,117.0,non_benchmark_application,117.0,101-250
06037460101,Census Tract 4601.01,37,460101,2.200184612632522,0.0,0.0,0.0,0.0,5204,707.1464599928054,712.2211126210117,6862.605546298202,405.1182025913915,408.0363647119429,3928.577469282758,0.0,0.1030434366687812,0.0,0.1031208384609898,False,115.0,0.0,115.0,non_benchmark_application,115.0,101-250
06037132302,Census Tract 1323.02,37,132302,0.2500399106397957,0.0,0.0,0.0,0.0,2904,104.56343405037168,105.7762031296076,2006.185350292288,108.52835888688728,109.7871147710411,2082.2575852400773,0.0,0.0521205251723812,0.0,0.0521205251723812,False,60.0,0.0,60.0,non_benchmark_application,60.0,51-100
06037135115,Census Tract 1351.15,37,135115,0.128774346477083,17.0,18.0,132.013871280064,139.77939312006777,4309,71.31279540495248,71.84510859001232,548.9179221550966,398.0429480984347,401.0141331191551,3063.8668244311734,32.79178775823265,0.1299152250758594,5.874928980747006,0.1299152250758594,False,87.0,18.0,69.0,non_benchmark_application,69.0,51-100
06037132301,Census Tract 1323.01,37,132301,0.2436289637149089,0.0,0.0,0.0,0.0,3604,101.88245954401263,103.06413359454125,1954.747370772856,134.688775973947,136.250950976182,2584.1791794783926,0.0,0.0521205251723812,0.0,0.0521205251723812,False,72.0,0.0,72.0,non_benchmark_application,72.0,51-100
06037134907,Census Tract 1349.07,37,134907,0.1511565905265781,2.0,5.0,13.231311933093233,33.07827983273308,4209,70.69953859968123,71.7632227310591,1358.891933970143,138.11579263455522,140.1937634364258,2654.6769650701076,3.679468451469856,0.0520273443622004,1.88346833373301,0.0520273443631239,False,74.0,5.0,69.0,non_benchmark_application,69.0,51-100
06037119003,Census Tract 1190.03,37,119003,0.3288465265809738,0.0,0.0,0.0,0.0,3417,59.961780891517975,61.3635758860596,2480.686512090585,60.80009306165916,62.22148623668334,2515.3684321815344,0.0,0.0241714463311954,0.0,0.0241714463311954,False,69.0,0.0,69.0,non_benchmark_application,69.0,51-100
06037111401,Census Tract 1114.01,37,111401,0.3246334750591957,0.0,0.0,0.0,0.0,2287,120.43435006892184,121.8422727463604,2035.372631351771,105.08351479909138,106.33121932074042,1634.956516583601,0.0,0.0591706639923406,0.0,0.0642729722370069,False,52.0,0.0,52.0,non_benchmark_application,52.0,51-100
06037103401,Census Tract 1034.01,37,103401,0.5411730203337379,0.0,0.0,0.0,0.0,2522,102.2105739883712,102.923972664686,1112.837080626057,177.33002090974443,178.56773044655108,1930.7143583696347,0.0,0.0918468442216805,0.0,0.091846844221684,False,58.0,0.0,58.0,non_benchmark_application,58.0,51-100
06037207400,Census Tract 2074,37,207400,0.3356812109910324,12.0,208.0,35.74820278016863,619.6355148562563,2598,200.4498632979182,201.99738721983672,2319.738358955881,152.7042287150086,153.88314419555138,1767.1943053335897,89.66528453390805,0.0864105482086096,117.70069616693128,0.0864105482086096,False,55.0,208.0,0.0,non_benchmark_application,0.0,0
06001442900,Census Tract 4429,1,442900,0.797885991067852,0.0,0.0,0.0,0.0,7783,513.2593529767335,515.6568649020733,2633.8107007012345,1159.9403217900951,1165.3585781512222,5952.2797080798155,0.0,0.1948732886688028,0.0,0.1948732886688028,False,245.0,0.0,245.0,non_benchmark_application,245.0,101-250
06037192410,Census Tract 1924.10,37,192410,0.2640543461459875,0.0,0.0,0.0,0.0,4334,193.2373573064759,195.13948476953527,2673.9992003569346,164.58213155315917,166.20283782195574,2277.533574508373,0.0,0.0722653010818709,0.0,0.0722633173865223,False,65.0,0.0,65.0,non_benchmark_application,65.0,51-100
06037192510,Census Tract 1925.10,37,192510,0.1315627416467521,0.0,0.0,0.0,0.0,4005,96.64215998031264,97.59090050667,1337.0772736232009,151.04365781624017,152.52646034723406,2089.740566975692,0.0,0.0722786647314949,0.0,0.0722786647314949,False,61.0,0.0,61.0,non_benchmark_application,61.0,51-100
06037192520,Census Tract 1925.20,37,192520,0.1188433747767083,0.0,0.0,0.0,0.0,4836,87.29888336156003,88.15590051191894,1207.8098521308204,182.383802546651,184.17427271890728,2523.342167763906,0.0,0.0722786647314949,0.0,0.0722786647314949,False,71.0,0.0,71.0,non_benchmark_application,71.0,51-100
06037192610,Census Tract 1926.10,37,192610,0.1603887283931786,0.0,0.0,0.0,0.0,4070,117.26453487425992,118.43177686441956,1639.833581168498,152.37066063514578,153.88428297184151,2127.43134942462,0.0,0.0715100216393303,0.0,0.0716218930760588,False,62.0,0.0,62.0,non_benchmark_application,62.0,51-100
06037192700,Census Tract 1927,37,192700,0.2051003466125832,0.0,0.0,0.0,0.0,3018,150.44982911843312,151.93293088106628,2088.183640142263,113.5711997805125,114.690073126562,1575.576674871454,0.0,0.0720481792052462,0.0,0.0720823058578081,False,51.0,0.0,51.0,non_benchmark_application,51.0,51-100
06037194500,Census Tract 1945,37,194500,0.2646100538781086,3.0,10.0,11.33743769759382,37.7914589919794,2120,284.6737395242804,286.7700115384504,1936.2565837549853,198.85450930510777,200.3188282248803,1352.5425755632148,5.16460477598841,0.1470227354745579,7.393482601341316,0.1470227354745579,False,48.0,10.0,38.0,non_benchmark_application,38.0,26-50
06037195100,Census Tract 1951,37,195100,0.7318010489598031,2.0,2.0,2.732983237510852,2.732983237510852,4871,402.7354157412251,405.0237370993718,3723.419194608436,365.9578008169818,368.0358827733952,3377.795572472457,0.5371407019913386,0.1081627919640076,0.5921021438654006,0.108342199214001,False,96.0,2.0,94.0,non_benchmark_application,94.0,51-100
06037195300,Census Tract 1953,37,195300,0.224073968217349,3.0,3.0,13.388436077010232,13.388436077010232,2990,72.95225349958669,73.44241421740203,702.6181578338114,167.95197567531977,169.08043239878975,1617.580021051951,4.269744478635553,0.1038291605279605,1.854622312934496,0.1038291605296265,False,52.0,3.0,49.0,non_benchmark_application,49.0,26-50
06095252204,Census Tract 2522.04,95,252204,20.73002388841912,3.0,5.0,0.1447176335226491,0.2411960558710819,5874,773.7623574829809,776.3548090971224,11224.77788750271,370.6181665794512,371.90203751744616,5289.265896766968,0.4454431125596553,0.0689334225797431,0.9453107666710838,0.0700698686382905,False,178.0,5.0,173.0,non_benchmark_application,173.0,101-250
06095252203,Census Tract 2522.03,95,252203,15.401599956132404,18.0,35.0,1.1687097477709127,2.272491176221219,4299,530.6503091682338,532.8002735884367,6997.93873644915,289.8888481018501,291.0633517221522,3822.902511027123,5.0014727647872315,0.075829516255167,9.155347252262608,0.075829516255167,False,109.0,35.0,74.0,non_benchmark_application,74.0,51-100
06095253501,Census Tract 2535.01,95,253501,148.4345265925711,0.0,0.0,0.0,0.0,6523,974.5481320669948,976.2284852867416,25550.59574205261,270.3236524216749,270.50061042933754,6973.132329501455,0.0,0.0381418946902685,0.0,0.0387664595547696,False,302.0,0.0,302.0,non_benchmark_application,302.0,251-500
