zip_code,ev_vehicles,zev_vehicles,light_duty_vehicles,ev_share_light_duty,zcta_area_sq_mi,zcta_population
94025,5409,5417,30690,0.17624633431085043,8.366526351626513,40721.0
93220,3,3,194,0.015463917525773196,27.441635591615245,0.0
93906,839,840,45575,0.0184092155787164,13.278189852818132,64199.0
95801,0,0,1,0.0,,
95556,3,3,365,0.00821917808219178,168.69337795933112,949.0
95204,450,450,19452,0.02313386798272671,5.565667632338838,31035.0
94445,0,0,1,0.0,,
92744,0,0,1,0.0,,
93327,0,0,1,0.0,,
96023,1,1,802,0.0012468827930174563,228.7169977086047,1178.0
94521,1913,1925,31877,0.06001192082065439,9.682753010908883,41909.0
93608,2,2,734,0.0027247956403269754,118.72717976745204,683.0
95465,141,141,2209,0.06382978723404255,48.36955683132365,1203.0
98683,2,2,27,0.07407407407407407,7.845560675672693,32107.0
91771,0,0,1,0.0,,
95436,272,272,6061,0.044877082989605674,21.53287942236488,5821.0
