STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,tract_area_sq_ft,tract_area_sq_mi,tract_area_sq_km,station_count,l1_evse,l2_evse,dcfc,total_evse,stations_per_sq_mi,evse_per_sq_mi
06,059,042307,06059042307,423.07,Census Tract 423.07,2477592,0,26668429.10104196,0.956598266078468,2.4775781355112656,1.0,0.0,7.0,0.0,7.0,1.0453709100889923,7.317596370622946
06,059,063010,06059063010,630.10,Census Tract 630.10,2724784,333446,32918373.64251167,1.1807841785221416,3.0582169832452073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,059,063101,06059063101,631.01,Census Tract 631.01,1892113,66411,21081291.207892723,0.7561872707147012,1.9585160403385062,9.0,0.0,16.0,12.0,28.0,11.901813675723158,37.027864768916494
06,059,063102,06059063102,631.02,Census Tract 631.02,1515561,0,16313281.975473586,0.5851584730642213,1.5155534878987018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,071,004201,06071004201,42.01,Census Tract 42.01,3227623,179601,36674902.99762689,1.315531127956658,3.4072099801846516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,071,004202,06071004202,42.02,Census Tract 42.02,1814584,0,19531982.00235813,0.7006134499238884,1.8145805052443578,4.0,0.0,7.0,0.0,7.0,5.709282344543261,9.991244102950706
06,071,004401,06071004401,44.01,Census Tract 44.01,1783274,0,19194966.040970348,0.6885246657258074,1.78327069790291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,001,423500,06001423500,4235,Census Tract 4235,635744,0,6843085.559358109,0.245461918881934,0.6357434514444689,15.0,0.0,21.0,0.0,21.0,61.10927539523932,85.55298555333505
06,001,423602,06001423602,4236.02,Census Tract 4236.02,404545,0,4354460.9449984105,0.15619479399816383,0.4045426593516252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,001,427600,06001427600,4276,Census Tract 4276,582864,0,6273883.010378785,0.2250445868621867,0.5828628042685409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,059,063103,06059063103,631.03,Census Tract 631.03,971190,0,10453748.642167028,0.37497663575266255,0.9711850282531892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,059,063201,06059063201,632.01,Census Tract 632.01,1017665,0,10953983.12345721,0.3929200787511912,1.01765833227787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,075,015900,06075015900,159,Census Tract 159,295577,0,3181560.5197405876,0.11412278035111727,0.29557664422788066,2.0,0.0,10.0,3.0,13.0,17.52498487897574,113.91240171334232
06,075,016000,06075016000,160,Census Tract 160,157523,0,1695564.8291400298,0.060820019410727656,0.15752312714418937,2.0,0.0,9.0,12.0,21.0,32.8839092683228,345.28104731738944
06,075,016200,06075016200,162,Census Tract 162,273260,0,2941325.9934837427,0.10550555245221184,0.27325812642565994,6.0,0.0,13.0,0.0,13.0,56.86904490375203,123.21626395812939
06,075,016300,06075016300,163,Census Tract 163,245866,0,2646457.3072275827,0.09492859372229334,0.24586392907165644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,075,016400,06075016400,164,Census Tract 164,309099,0,3327098.1179055045,0.1193432233523267,0.30909752953169983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,075,015500,06075015500,155,Census Tract 155,312148,0,3359904.4484495833,0.12051998853770601,0.3121453373704896,5.0,0.0,48.0,0.0,48.0,41.48689408840837,398.27418324872036
06,075,015600,06075015600,156,Census Tract 156,293931,0,3163852.2200798863,0.11348758250401336,0.2939314893561705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,075,016700,06075016700,167,Census Tract 167,490697,0,5281771.274505585,0.18945747512431077,0.4906926079862434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,029,000202,06029000202,2.02,Census Tract 2.02,1538674,0,16562082.790835502,0.5940829743039594,1.5386678400003022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,029,004002,06029004002,40.02,Census Tract 40.02,2464123,0,26523519.779885583,0.95140035941394,2.4641156190515017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,029,003814,06029003814,38.14,Census Tract 38.14,6864788,0,73891672.0788743,2.650499027163478,6.864760966810543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,029,006102,06029006102,61.02,Census Tract 61.02,7866288,36711,85066831.48089561,3.0513527132437877,7.902967247742905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,029,005511,06029005511,55.11,Census Tract 55.11,9024843,0,97142125.96564567,3.4844943026015005,9.024798814271419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,029,003827,06029003827,38.27,Census Tract 38.27,43753256,0,470954285.91763604,16.893160508409235,43.753084862777584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,029,000602,06029000602,6.02,Census Tract 6.02,633784,0,6821950.396099809,0.24470379921730834,0.6337799305268763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,029,003819,06029003819,38.19,Census Tract 38.19,2602382,0,28011707.83633659,1.0047817606583085,2.602372813587492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,001,433000,06001433000,4330,Census Tract 4330,1316548,0,14171183.644020615,0.5083212682227322,1.3165460409277931,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,001,433200,06001433200,4332,Census Tract 4332,3173333,0,34157384.00367829,1.2252275598197275,3.1733248123890845,2.0,0.0,0.0,16.0,16.0,1.6323498308300115,13.058798646640092
06,001,433300,06001433300,4333,Census Tract 4333,2520122,0,27126272.703601014,0.9730211455320612,2.520113198033553,3.0,0.0,6.0,0.0,6.0,3.0831806829434925,6.166361365886985
