zip_code,ev_vehicles,zev_vehicles,light_duty_vehicles,ev_share_light_duty
94599,129,129,2111,0.0611084793936523
94451,0,0,1,0.0
96737,0,0,5,0.0
91766,1853,1882,49942,0.037103039525849986
99708,0,0,2,0.0
97532,0,0,8,0.0
95085,0,1,3,0.0
91377,1629,1641,11004,0.1480370774263904
98101,6,6,68,0.08823529411764706
94053,0,0,1,0.0
94102,674,680,7578,0.08894167326471364
96713,0,0,5,0.0
93940,1406,1406,22381,0.06282114293373844
96017,3,3,109,0.027522935779816515
90026,2504,2523,34484,0.07261338591810695
91355,2303,2311,26833,0.08582715313233705
98651,0,0,1,0.0
95387,9,9,863,0.010428736964078795
94945,1239,1241,15970,0.0775829680651221
94557,1,2,101,0.009900990099009901
99514,0,0,1,0.0
98055,1,1,21,0.047619047619047616
91341,1,1,153,0.006535947712418301
95431,2,2,51,0.0392156862745098
97031,0,0,17,0.0
95086,0,0,1,0.0
93436,890,891,39750,0.02238993710691824
95428,12,12,2115,0.005673758865248227
93915,5,5,1233,0.0040551500405515
95173,15,15,318,0.04716981132075472
90463,0,0,1,0.0
97076,0,0,1,0.0
95758,2720,2732,47579,0.057168078353895625
94213,0,0,1,0.0
90774,0,0,0,
98020,2,2,29,0.06896551724137931
95501,375,375,16119,0.023264470500651405
98225,3,3,29,0.10344827586206896
97062,3,3,53,0.05660377358490566
91672,0,0,2,0.0
91799,0,0,2,0.0
92604,2365,2414,19858,0.11909557860811763
95375,3,3,41,0.07317073170731707
93306,914,916,47023,0.019437296642068776
90952,0,0,0,
93555,449,450,23528,0.019083645018701124
94593,0,0,1,0.0
98812,0,0,2,0.0
98230,3,3,35,0.08571428571428572
96706,5,5,88,0.056818181818181816
98356,0,0,3,0.0
92255,13,13,805,0.016149068322981366
92406,2,2,330,0.006060606060606061
94822,0,0,1,0.0
91244,0,0,1,0.0
95706,0,0,2,0.0
90808,2246,2275,30332,0.07404721086641171
91552,0,0,1,0.0
95319,8,8,1396,0.0057306590257879654
92663,1799,1807,15871,0.11335139562724467
93485,0,0,1,0.0
93534,613,626,23853,0.025699073491803965
90798,0,0,0,
95662,856,861,25700,0.03330739299610895
94604,14,14,562,0.02491103202846975
90502,737,746,13916,0.052960620868065536
96088,41,41,3980,0.010301507537688442
92046,16,17,735,0.021768707482993196
98564,0,0,2,0.0
97625,0,0,0,
92167,8,8,286,0.027972027972027972
92549,93,93,3276,0.028388278388278388
95497,73,73,573,0.1273996509598604
94528,148,148,965,0.1533678756476684
96068,0,0,65,0.0
95526,2,2,400,0.005
95364,5,5,317,0.015772870662460567
93285,25,26,1926,0.012980269989615784
92176,14,14,384,0.036458333333333336
95658,325,325,6565,0.04950495049504951
95154,12,12,368,0.03260869565217391
92522,0,0,107,0.0
94473,0,0,1,0.0
97452,1,1,2,0.5
98729,0,0,1,0.0
95461,71,71,3906,0.01817716333845366
91406,2345,2370,38363,0.061126606365508436
93308,557,558,34626,0.01608617801651938
95563,5,5,497,0.01006036217303823
95034,0,0,4,0.0
97720,0,0,1,0.0
90403,2156,2181,15862,0.13592233009708737
90902,0,0,0,
99003,0,0,2,0.0
94288,0,0,0,
98367,0,0,31,0.0
95914,8,8,685,0.01167883211678832
96019,94,94,7156,0.013135830072666294
94966,14,14,437,0.032036613272311214
91176,0,0,1,0.0
95311,18,18,2411,0.007465781833264205
94809,0,0,3,0.0
99508,0,0,11,0.0
94555,3857,3874,24844,0.1552487522138142
98848,0,0,2,0.0
96132,0,0,20,0.0
93392,0,0,0,
98682,0,0,39,0.0
90233,1,1,2,0.5
91970,0,0,4,0.0
94426,0,0,0,
92664,0,0,1,0.0
92018,28,28,1169,0.023952095808383235
91610,3,3,149,0.020134228187919462
91804,1,1,2,0.5
93945,0,0,0,
97850,0,0,4,0.0
94999,1,1,4,0.25
98375,1,1,32,0.03125
92480,0,0,0,
98321,0,0,9,0.0
94572,324,324,7223,0.04485670773916655
91732,1699,1744,39524,0.04298653982390446
93602,39,39,2768,0.014089595375722543
94081,0,0,3,0.0
92042,0,0,1,0.0
95605,415,422,14740,0.028154681139755767
99688,0,0,1,0.0
94624,1,1,44,0.022727272727272728
95384,0,0,2,0.0
91648,0,0,1,0.0
95140,38,39,335,0.11343283582089553
94032,0,0,4,0.0
92555,1579,1588,32716,0.04826384643599462
96346,0,0,3,0.0
93642,0,0,3,0.0
90737,0,0,1,0.0
96338,0,0,4,0.0
98568,0,0,1,0.0
92440,0,0,3,0.0
95368,260,260,11363,0.022881281351755697
96031,1,1,102,0.00980392156862745
96756,1,1,39,0.02564102564102564
91035,0,0,1,0.0
95861,0,0,1,0.0
90796,0,0,1,0.0
98520,1,1,8,0.125
92384,1,1,40,0.025
90037,533,550,33070,0.01611732688237073
91985,0,0,1,0.0
95105,0,0,1,0.0
95583,0,0,1,0.0
94564,943,945,15258,0.061803643990038015
92856,7,7,175,0.04
96557,0,0,1,0.0
91913,3868,3874,43360,0.08920664206642066
93041,443,447,14926,0.029679753450355086
91019,0,0,0,
90303,438,445,15653,0.027981856513128473
92379,0,0,1,0.0
93513,19,19,1695,0.011209439528023599
98611,0,0,4,0.0
90723,707,720,35483,0.01992503452357467
96362,0,0,2,0.0
92888,0,0,0,
98387,0,0,28,0.0
91367,4153,4184,31967,0.12991522507585948
98240,0,0,1,0.0
92417,0,0,1,0.0
90976,0,0,1,0.0
98082,0,0,1,0.0
95553,5,5,741,0.006747638326585695
97702,5,5,243,0.0205761316872428
97015,0,0,26,0.0
91354,3295,3304,24624,0.13381254061078623
93453,89,89,2546,0.034956794972505895
92585,1204,1210,21888,0.05500730994152047
91879,0,0,1,0.0
92104,2499,2503,30158,0.08286358511837655
90804,836,851,20406,0.040968342644320296
93432,49,49,1407,0.03482587064676617
93247,128,128,12464,0.010269576379974325
95617,22,22,824,0.02669902912621359
95345,9,9,684,0.013157894736842105
90929,0,0,1,0.0
93527,22,22,1857,0.011847065158858373
93374,0,0,2,0.0
91435,0,0,0,
91111,0,0,14,0.0
90965,0,0,0,
90943,0,0,1,0.0
92924,0,0,1,0.0
91380,29,29,685,0.042335766423357665
92305,5,5,457,0.010940919037199124
96643,0,0,4,0.0
92810,0,0,1,0.0
92227,201,201,23761,0.008459239930979336
92203,1369,1369,24832,0.05513047680412371
94630,0,0,1,0.0
99520,0,0,1,0.0
92370,0,0,7,0.0
98395,0,0,1,0.0
90277,3075,3085,27081,0.11354824415641963
94582,7203,7240,33036,0.2180348710497639
92735,4,4,140,0.02857142857142857
94141,4,4,199,0.020100502512562814
94965,1044,1049,8344,0.12511984659635667
91337,8,8,258,0.031007751937984496
97709,0,0,2,0.0
95372,41,41,2329,0.017604121940747102
95136,3343,3374,35044,0.09539436137427235
98507,0,0,4,0.0
98031,1,1,29,0.034482758620689655
90306,0,0,46,0.0
92207,0,0,1,0.0
92008,2003,2008,23902,0.08380051878503891
97068,1,1,34,0.029411764705882353
94148,0,0,1,0.0
96076,0,0,147,0.0
97526,0,0,38,0.0
93412,13,13,359,0.036211699164345405
95377,3267,3273,31114,0.10500096419618178
98922,0,0,3,0.0
95671,1,1,49,0.02040816326530612
96929,0,0,14,0.0
91704,0,0,1,0.0
98117,2,2,45,0.044444444444444446
90837,0,0,0,
93290,19,19,851,0.022326674500587545
94119,8,8,196,0.04081632653061224
98570,0,0,6,0.0
94080,7874,7905,86782,0.09073310133437809
95498,0,0,2,0.0
97739,0,0,11,0.0
96755,0,0,7,0.0
93332,0,0,1,0.0
90667,0,0,0,
99588,0,0,3,0.0
98247,0,0,3,0.0
90227,0,0,1,0.0
92593,13,13,761,0.017082785808147174
93200,0,0,3,0.0
98828,0,0,1,0.0
97434,0,0,1,0.0
93741,0,0,1,0.0
97217,2,2,74,0.02702702702702703
95918,44,44,2187,0.020118884316415182
95373,2,2,227,0.00881057268722467
98166,0,0,20,0.0
95481,5,5,710,0.007042253521126761
92901,0,0,3,0.0
97451,0,0,2,0.0
90036,2844,2865,22289,0.1275965723002378
91309,2,2,204,0.00980392156862745
90638,2202,2226,35399,0.062205147038051925
95654,0,0,4,0.0
91545,0,0,1,0.0
98524,0,0,6,0.0
94622,0,0,3,0.0
92051,7,7,499,0.014028056112224449
92143,11,11,1396,0.007879656160458453
96921,0,0,5,0.0
96053,0,0,0,
95812,29,29,730,0.03972602739726028
94237,0,0,0,
95254,21,21,807,0.026022304832713755
90625,0,0,2,0.0
90936,0,0,0,
96635,0,0,1,0.0
90033,415,425,23135,0.017938188891290254
96050,3,3,320,0.009375
91550,0,0,1,0.0
92685,12,12,404,0.0297029702970297
97211,1,1,54,0.018518518518518517
91768,675,686,22418,0.03010973325006691
98403,1,1,14,0.07142857142857142
90807,1682,1707,23454,0.07171484608169182
91405,2514,2537,37843,0.06643236529873424
95480,5,5,105,0.047619047619047616
92613,0,0,0,
92326,1,1,11,0.09090909090909091
98948,0,0,4,0.0
93938,0,0,1,0.0
90073,1,1,65,0.015384615384615385
95484,0,0,1,0.0
94511,91,91,1836,0.049564270152505446
95439,14,14,795,0.01761006289308176
97818,0,0,2,0.0
96202,1,1,2,0.5
95078,0,0,1,0.0
95521,500,500,12717,0.03931744908390344
93907,594,594,20211,0.029389936173370938
96021,106,106,13139,0.008067585052134866
96675,0,0,4,0.0
97373,0,0,1,0.0
92024,4795,4800,42578,0.11261684437972662
97321,0,0,28,0.0
95800,0,0,66,0.0
92809,9,9,233,0.03862660944206009
94988,0,0,1,0.0
91978,456,458,8272,0.0551257253384913
91386,5,6,314,0.01592356687898089
92862,0,0,3,0.0
93293,0,0,1,0.0
96125,7,7,410,0.01707317073170732
93628,0,0,141,0.0
92908,0,0,0,
92519,4,4,352,0.011363636363636364
94033,0,0,1,0.0
93900,0,0,4,0.0
93926,82,82,7539,0.01087677410797188
91426,23,23,226,0.10176991150442478
97067,0,0,2,0.0
94001,0,0,3,0.0
90705,0,0,1,0.0
93026,0,0,0,
94524,8,8,575,0.01391304347826087
91716,0,0,64,0.0
94548,13,13,570,0.02280701754385965
93912,17,17,2544,0.0066823899371069185
90276,0,0,1,0.0
92634,0,0,2,0.0
90071,38,38,573,0.06631762652705062
90743,50,50,335,0.14925373134328357
98043,1,1,23,0.043478260869565216
92875,0,0,1,0.0
92863,15,16,732,0.020491803278688523
94651,0,0,1,0.0
96679,0,0,2,0.0
95992,23,23,1296,0.017746913580246913
98623,0,0,1,0.0
95098,0,0,2,0.0
92212,0,0,3,0.0
93003,2014,2019,40898,0.04924446183187442
92824,0,0,2,0.0
92079,11,11,760,0.014473684210526316
98009,1,1,4,0.25
95931,0,0,4,0.0
90718,0,0,2,0.0
93541,13,13,504,0.025793650793650792
93291,1292,1293,44878,0.028789161727349702
91303,997,1012,19163,0.05202734436153003
93725,227,227,19291,0.011767145300917527
95391,3717,3731,17277,0.2151415176245876
90975,0,0,1,0.0
93563,3,3,93,0.03225806451612903
93712,1,1,36,0.027777777777777776
94706,1374,1380,11235,0.12229639519359145
92673,3066,3076,24706,0.1240994090504331
95635,18,18,1073,0.016775396085740912
90707,7,8,542,0.012915129151291513
96795,0,0,8,0.0
92329,36,36,3810,0.009448818897637795
92956,0,0,3,0.0
92562,2873,2881,49002,0.058630259989388187
91006,3371,3403,25055,0.13454400319297546
92470,0,0,2,0.0
91921,18,18,510,0.03529411764705882
95442,216,216,2642,0.0817562452687358
92880,4958,4991,43349,0.1143740340030912
98124,1,1,2,0.5
90914,0,0,1,0.0
96084,8,8,415,0.01927710843373494
90677,0,0,0,
92218,0,0,1,0.0
96760,0,0,1,0.0
97503,0,0,20,0.0
97003,0,0,22,0.0
93721,156,157,3680,0.042391304347826085
98028,3,3,24,0.125
98620,0,0,5,0.0
98662,0,0,29,0.0
95264,0,0,1,0.0
90895,1,1,14,0.07142857142857142
94177,0,0,3,0.0
93703,156,156,19722,0.007909948281107393
95827,637,643,17976,0.03543613707165109
92865,1146,1178,18143,0.06316485696963016
91170,0,0,1,0.0
99163,0,0,20,0.0
92142,7,7,374,0.01871657754010695
97051,0,0,5,0.0
96051,19,19,1017,0.018682399213372666
93434,102,102,6391,0.015959943670787045
93190,4,4,200,0.02
92139,784,786,26345,0.029758967546023914
96785,0,0,5,0.0
95243,0,0,1,0.0
94124,1764,1788,27013,0.06530189168178284
91118,19,19,168,0.1130952380952381
90201,1009,1024,57508,0.017545384989914446
93601,28,28,1594,0.01756587202007528
92715,0,0,8,0.0
98226,2,2,29,0.06896551724137931
92802,1209,1241,27895,0.043341100555655133
95064,63,63,825,0.07636363636363637
97601,0,0,43,0.0
99005,0,0,13,0.0
95224,7,7,599,0.011686143572621035
90666,0,0,0,
92038,43,43,606,0.07095709570957096
92571,1160,1165,42105,0.02755017218857618
93407,13,13,223,0.05829596412556054
97298,0,0,1,0.0
98112,3,3,59,0.05084745762711865
96150,425,426,17181,0.024736627670100694
95782,0,0,3,0.0
92882,3028,3066,51271,0.059058727155702054
95817,412,415,8130,0.05067650676506765
95991,503,504,29116,0.01727572468745707
91346,3,3,160,0.01875
95410,44,44,970,0.04536082474226804
93274,772,772,54277,0.01422333585128139
90646,0,0,1,0.0
90658,0,0,0,
98136,1,1,17,0.058823529411764705
92609,12,14,391,0.030690537084398978
94048,0,0,1,0.0
96087,8,8,676,0.011834319526627219
92395,727,729,29030,0.02504305890458147
94609,980,990,11279,0.08688713538434259
90857,0,0,0,
92016,0,0,2,0.0
91544,0,0,2,0.0
90640,1599,1625,43469,0.036784835169891186
94953,17,17,570,0.02982456140350877
90966,0,0,0,
94502,1441,1447,10420,0.13829174664107485
99502,0,0,8,0.0
97530,0,0,19,0.0
92706,1105,1127,24215,0.045632872186661164
94109,1654,1666,17481,0.09461701275670728
92709,0,0,1,0.0
90732,1149,1163,15964,0.07197444249561513
97478,1,1,33,0.030303030303030304
94085,2403,2428,18894,0.12718323277230867
90017,1083,1089,11818,0.09163987138263666
94540,19,20,494,0.038461538461538464
91246,0,0,1,0.0
91358,1,1,128,0.0078125
90660,1127,1139,44304,0.0254378837125316
95613,16,16,338,0.047337278106508875
95819,1163,1165,13095,0.08881252386407025
96074,0,0,104,0.0
90209,37,37,373,0.09919571045576407
93778,0,0,67,0.0
95619,62,62,4457,0.013910702266098272
92800,0,0,1,0.0
93387,6,6,584,0.010273972602739725
94927,11,11,515,0.021359223300970873
91331,1711,1751,70786,0.024171446331195435
92708,4946,5018,48468,0.10204671123215317
90925,0,0,0,
92245,1,1,2,0.5
95024,12,12,1236,0.009708737864077669
94100,0,0,52,0.0
91000,0,0,1,0.0
98015,0,0,1,0.0
93660,25,25,2949,0.0084774499830451
95158,10,10,366,0.0273224043715847
92301,411,412,22558,0.018219700328043265
99827,0,0,6,0.0
95655,194,197,3559,0.054509693734195
96160,37,37,2157,0.017153453871117292
92317,75,75,2348,0.031942078364565585
94139,0,0,1,0.0
95268,0,0,1,0.0
95056,7,7,243,0.02880658436213992
95316,136,136,5704,0.023842917251051893
94801,705,709,22556,0.03125554176272389
94800,0,0,2,0.0
92754,0,0,2,0.0
98601,0,0,1,0.0
96108,2,2,138,0.014492753623188406
95717,2,2,200,0.01
93457,8,8,599,0.01335559265442404
92558,0,0,1,0.0
92661,257,258,2523,0.10186286167261197
91033,0,0,0,
93410,2,2,45,0.044444444444444446
98416,0,0,1,0.0
96722,1,1,27,0.037037037037037035
99111,0,0,1,0.0
96170,0,0,1,0.0
94508,127,127,2111,0.060161061108479394
93621,8,8,370,0.021621621621621623
90681,0,0,0,
98642,2,2,30,0.06666666666666667
94217,0,0,1,0.0
95127,2480,2505,47970,0.05169897852824682
96836,0,0,2,0.0
90221,489,509,33756,0.014486313544258798
91615,4,4,172,0.023255813953488372
90762,0,0,2,0.0
93557,0,0,1,0.0
95460,147,147,2846,0.05165144061841181
92221,0,0,1,0.0
90928,0,0,1,0.0
90719,0,0,0,
95166,0,0,1,0.0
90053,5,5,280,0.017857142857142856
91943,3,3,162,0.018518518518518517
92575,1,1,1,1.0
95855,0,0,1,0.0
92358,26,26,697,0.03730272596843615
94583,3907,3937,31325,0.12472466081404629
93187,0,0,2,0.0
98138,0,0,1,0.0
91762,2387,2402,49523,0.048199826343315225
99180,0,0,3,0.0
96687,0,0,1,0.0
95815,339,344,16036,0.021139935145921676
96151,17,17,4224,0.004024621212121212
98675,0,0,1,0.0
93935,0,0,1,0.0
94529,0,0,4,0.0
92389,0,0,82,0.0
96086,0,0,266,0.0
96000,0,0,3,0.0
95339,0,0,3,0.0
92407,1499,1511,46133,0.03249300934255305
95212,975,978,22982,0.042424506135236274
95353,4,4,861,0.004645760743321719
94931,410,410,8004,0.05122438780609695
90746,1043,1054,21753,0.04794740955270537
96444,0,0,1,0.0
90853,1,1,169,0.005917159763313609
90851,0,0,0,
98467,1,1,9,0.1111111111111111
95324,96,96,6014,0.015962753574991686
93262,2,2,32,0.0625
93271,50,50,1770,0.02824858757062147
91923,0,0,1,0.0
