GEOID,NAMELSAD,COUNTYFP,county_name,current_total_evse,predicted_target_evse_count,baseline_target_evse_count,planning_gap_evse_non_benchmark_only,baseline_gap_evse,target_difference_final_minus_baseline,gap_difference_final_minus_baseline
06037535701,Census Tract 5357.01,37,Los Angeles,0.0,106.0,15.0,106.0,15.0,91.0,91.0
06037535702,Census Tract 5357.02,37,Los Angeles,2.0,103.0,13.0,101.0,11.0,90.0,90.0
06037535802,Census Tract 5358.02,37,Los Angeles,0.0,110.0,14.0,110.0,14.0,96.0,96.0
06037535803,Census Tract 5358.03,37,Los Angeles,0.0,62.0,20.0,62.0,20.0,42.0,42.0
06037535606,Census Tract 5356.06,37,Los Angeles,0.0,46.0,30.0,46.0,30.0,16.0,16.0
06037535804,Census Tract 5358.04,37,Los Angeles,0.0,113.0,18.0,113.0,18.0,95.0,95.0
06037535901,Census Tract 5359.01,37,Los Angeles,0.0,115.0,14.0,115.0,14.0,101.0,101.0
06037536000,Census Tract 5360,37,Los Angeles,4.0,59.0,11.0,55.0,7.0,48.0,48.0
06067002700,Census Tract 27,67,Sacramento,2.0,58.0,24.0,56.0,22.0,34.0,34.0
06067009406,Census Tract 94.06,67,Sacramento,0.0,44.0,2.0,44.0,2.0,42.0,42.0
06065043227,Census Tract 432.27,65,Riverside,3.0,241.0,16.0,238.0,13.0,225.0,225.0
06065043228,Census Tract 432.28,65,Riverside,4.0,110.0,26.0,106.0,22.0,84.0,84.0
06065043229,Census Tract 432.29,65,Riverside,0.0,100.0,19.0,100.0,19.0,81.0,81.0
06065048300,Census Tract 483,65,Riverside,0.0,139.0,23.0,139.0,23.0,116.0,116.0
06037535607,Census Tract 5356.07,37,Los Angeles,0.0,81.0,13.0,81.0,13.0,68.0,68.0
06037536102,Census Tract 5361.02,37,Los Angeles,13.0,65.0,7.0,52.0,0.0,58.0,52.0
06037540000,Census Tract 5400,37,Los Angeles,0.0,133.0,11.0,133.0,11.0,122.0,122.0
06037540101,Census Tract 5401.01,37,Los Angeles,0.0,117.0,11.0,117.0,11.0,106.0,106.0
06037540102,Census Tract 5401.02,37,Los Angeles,8.0,117.0,11.0,109.0,3.0,106.0,106.0
06065048700,Census Tract 487,65,Riverside,39.0,91.0,14.0,52.0,0.0,77.0,52.0
06065049400,Census Tract 494,65,Riverside,0.0,73.0,11.0,73.0,11.0,62.0,62.0
06065049800,Census Tract 498,65,Riverside,20.0,79.0,11.0,59.0,0.0,68.0,59.0
06037540202,Census Tract 5402.02,37,Los Angeles,0.0,121.0,15.0,121.0,15.0,106.0,106.0
06037540203,Census Tract 5402.03,37,Los Angeles,0.0,94.0,14.0,94.0,14.0,80.0,80.0
06067000200,Census Tract 2,67,Sacramento,0.0,75.0,22.0,75.0,22.0,53.0,53.0
06067000300,Census Tract 3,67,Sacramento,6.0,80.0,23.0,74.0,17.0,57.0,57.0
06067000400,Census Tract 4,67,Sacramento,0.0,106.0,27.0,106.0,27.0,79.0,79.0
06037551700,Census Tract 5517,37,Los Angeles,0.0,122.0,11.0,122.0,11.0,111.0,111.0
06037551900,Census Tract 5519,37,Los Angeles,4.0,110.0,10.0,106.0,6.0,100.0,100.0
06037552100,Census Tract 5521,37,Los Angeles,0.0,107.0,11.0,107.0,11.0,96.0,96.0
06037552200,Census Tract 5522,37,Los Angeles,3.0,145.0,10.0,142.0,7.0,135.0,135.0
06067001800,Census Tract 18,67,Sacramento,0.0,92.0,21.0,92.0,21.0,71.0,71.0
06067001900,Census Tract 19,67,Sacramento,0.0,70.0,26.0,70.0,26.0,44.0,44.0
06067002000,Census Tract 20,67,Sacramento,9.0,65.0,27.0,56.0,18.0,38.0,38.0
06067008137,Census Tract 81.37,67,Sacramento,0.0,51.0,26.0,51.0,26.0,25.0,25.0
06067005102,Census Tract 51.02,67,Sacramento,0.0,84.0,15.0,84.0,15.0,69.0,69.0
06067007423,Census Tract 74.23,67,Sacramento,0.0,109.0,27.0,109.0,27.0,82.0,82.0
06111007610,Census Tract 76.10,111,Ventura,0.0,112.0,19.0,112.0,19.0,93.0,93.0
06111007611,Census Tract 76.11,111,Ventura,5.0,117.0,18.0,112.0,13.0,99.0,99.0
06037600912,Census Tract 6009.12,37,Los Angeles,0.0,76.0,12.0,76.0,12.0,64.0,64.0
06037601001,Census Tract 6010.01,37,Los Angeles,2.0,118.0,14.0,116.0,12.0,104.0,104.0
06037601100,Census Tract 6011,37,Los Angeles,0.0,649.0,16.0,649.0,16.0,633.0,633.0
06037601211,Census Tract 6012.11,37,Los Angeles,4.0,134.0,17.0,130.0,13.0,117.0,117.0
06037601212,Census Tract 6012.12,37,Los Angeles,0.0,476.0,17.0,476.0,17.0,459.0,459.0
06037601301,Census Tract 6013.01,37,Los Angeles,0.0,47.0,16.0,47.0,16.0,31.0,31.0
06067008905,Census Tract 89.05,67,Sacramento,0.0,115.0,21.0,115.0,21.0,94.0,94.0
06067009307,Census Tract 93.07,67,Sacramento,0.0,128.0,17.0,128.0,17.0,111.0,111.0
06067004201,Census Tract 42.01,67,Sacramento,0.0,113.0,20.0,113.0,20.0,93.0,93.0
06111008700,Census Tract 87,111,Ventura,1.0,142.0,20.0,141.0,19.0,122.0,122.0
06111008800,Census Tract 88,111,Ventura,0.0,135.0,24.0,135.0,24.0,111.0,111.0
06111008900,Census Tract 89,111,Ventura,0.0,74.0,34.0,74.0,34.0,40.0,40.0
06111009100,Census Tract 91,111,Ventura,2.0,131.0,14.0,129.0,12.0,117.0,117.0
06037601302,Census Tract 6013.02,37,Los Angeles,0.0,127.0,12.0,127.0,12.0,115.0,115.0
06037601401,Census Tract 6014.01,37,Los Angeles,0.0,706.0,10.0,706.0,10.0,696.0,696.0
06067001300,Census Tract 13,67,Sacramento,0.0,98.0,30.0,98.0,30.0,68.0,68.0
06067001400,Census Tract 14,67,Sacramento,10.0,72.0,30.0,62.0,20.0,42.0,42.0
06067001500,Census Tract 15,67,Sacramento,10.0,130.0,20.0,120.0,10.0,110.0,110.0
06053001802,Census Tract 18.02,53,Monterey,0.0,131.0,25.0,131.0,25.0,106.0,106.0
06053000502,Census Tract 5.02,53,Monterey,0.0,107.0,18.0,107.0,18.0,89.0,89.0
06053000501,Census Tract 5.01,53,Monterey,0.0,141.0,42.0,141.0,42.0,99.0,99.0
06053010505,Census Tract 105.05,53,Monterey,0.0,123.0,32.0,123.0,32.0,91.0,91.0
06053011204,Census Tract 112.04,53,Monterey,0.0,79.0,2.0,79.0,2.0,77.0,77.0
06053014202,Census Tract 142.02,53,Monterey,0.0,104.0,30.0,104.0,30.0,74.0,74.0
06053014201,Census Tract 142.01,53,Monterey,0.0,144.0,24.0,144.0,24.0,120.0,120.0
06067007602,Census Tract 76.02,67,Sacramento,10.0,99.0,17.0,89.0,7.0,82.0,82.0
06067005508,Census Tract 55.08,67,Sacramento,0.0,68.0,27.0,68.0,27.0,41.0,41.0
06067003600,Census Tract 36,67,Sacramento,0.0,51.0,24.0,51.0,24.0,27.0,27.0
06067008912,Census Tract 89.12,67,Sacramento,0.0,69.0,19.0,69.0,19.0,50.0,50.0
06053010607,Census Tract 106.07,53,Monterey,0.0,93.0,45.0,93.0,45.0,48.0,48.0
06037540300,Census Tract 5403,37,Los Angeles,0.0,80.0,10.0,80.0,10.0,70.0,70.0
06037540400,Census Tract 5404,37,Los Angeles,0.0,47.0,22.0,47.0,22.0,25.0,25.0
06037540501,Census Tract 5405.01,37,Los Angeles,2.0,92.0,11.0,90.0,9.0,81.0,81.0
06037540600,Census Tract 5406,37,Los Angeles,0.0,74.0,13.0,74.0,13.0,61.0,61.0
06037540700,Census Tract 5407,37,Los Angeles,9.0,55.0,12.0,46.0,3.0,43.0,43.0
06067007415,Census Tract 74.15,67,Sacramento,0.0,61.0,22.0,61.0,22.0,39.0,39.0
06067008140,Census Tract 81.40,67,Sacramento,0.0,54.0,21.0,54.0,21.0,33.0,33.0
06067008008,Census Tract 80.08,67,Sacramento,2.0,104.0,16.0,102.0,14.0,88.0,88.0
06067009110,Census Tract 91.10,67,Sacramento,0.0,45.0,35.0,45.0,35.0,10.0,10.0
06067003501,Census Tract 35.01,67,Sacramento,0.0,53.0,25.0,53.0,25.0,28.0,28.0
06037540901,Census Tract 5409.01,37,Los Angeles,0.0,84.0,12.0,84.0,12.0,72.0,72.0
06037540902,Census Tract 5409.02,37,Los Angeles,0.0,73.0,8.0,73.0,8.0,65.0,65.0
06075012901,Census Tract 129.01,75,San Francisco,0.0,50.0,8.0,50.0,8.0,42.0,42.0
06075015802,Census Tract 158.02,75,San Francisco,0.0,49.0,8.0,49.0,8.0,41.0,41.0
06065045110,Census Tract 451.10,65,Riverside,0.0,113.0,26.0,113.0,26.0,87.0,87.0
06085508900,Census Tract 5089,85,Santa Clara,0.0,99.0,17.0,99.0,17.0,82.0,82.0
06037273700,Census Tract 2737,37,Los Angeles,0.0,54.0,15.0,54.0,15.0,39.0,39.0
